timestamp_epoch,timestamp_iso,hostname,ap_ip,interface,banda,canal,sinal_dbm
1785094066.448,2026-07-26T16:27:46.449-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-43
1785094066.760,2026-07-26T16:27:46.762-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-40
1785094067.073,2026-07-26T16:27:47.074-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-39
1785094067.385,2026-07-26T16:27:47.386-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-40
1785094067.698,2026-07-26T16:27:47.699-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-41
1785094068.012,2026-07-26T16:27:48.013-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-43
1785094068.326,2026-07-26T16:27:48.327-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-43
1785094068.639,2026-07-26T16:27:48.640-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-43
1785094068.952,2026-07-26T16:27:48.954-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-43
1785094069.267,2026-07-26T16:27:49.269-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-42
1785094069.580,2026-07-26T16:27:49.582-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-45
1785094069.898,2026-07-26T16:27:49.899-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-47
1785094070.210,2026-07-26T16:27:50.211-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-50
1785094070.522,2026-07-26T16:27:50.524-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-51
1785094070.837,2026-07-26T16:27:50.838-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-45
1785094071.149,2026-07-26T16:27:51.150-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-42
1785094071.461,2026-07-26T16:27:51.462-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-45
1785094071.774,2026-07-26T16:27:51.775-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-45
1785094072.088,2026-07-26T16:27:52.090-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-40
1785094072.401,2026-07-26T16:27:52.402-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-44
1785094072.712,2026-07-26T16:27:52.713-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-39
1785094073.024,2026-07-26T16:27:53.025-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-46
1785094073.337,2026-07-26T16:27:53.338-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-43
1785094073.649,2026-07-26T16:27:53.650-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-43
1785094073.961,2026-07-26T16:27:53.962-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-44
1785094074.273,2026-07-26T16:27:54.274-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-45
1785094074.585,2026-07-26T16:27:54.586-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-43
1785094074.900,2026-07-26T16:27:54.901-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-47
1785094075.213,2026-07-26T16:27:55.214-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-48
1785094075.526,2026-07-26T16:27:55.527-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-49
1785094075.838,2026-07-26T16:27:55.839-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-49
1785094076.151,2026-07-26T16:27:56.152-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-49
1785094076.464,2026-07-26T16:27:56.465-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-50
1785094076.777,2026-07-26T16:27:56.778-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-53
1785094077.089,2026-07-26T16:27:57.090-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-58
1785094077.401,2026-07-26T16:27:57.402-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-64
1785094077.713,2026-07-26T16:27:57.714-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-68
1785094078.025,2026-07-26T16:27:58.026-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-69
1785094078.336,2026-07-26T16:27:58.337-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-68
1785094078.649,2026-07-26T16:27:58.650-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-70
